id,category,difficulty,difficulty_normalized,topic,question,option_a,option_b,option_c,option_d,option_e,option_f,answer,solution,source_file,source_repo
1,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,What is 25% of 400?,,,,,,,100,25% of 400 = (25/100) × 400 = 0.25 × 400 = 100.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
2,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,Find 10% of 1500.,,,,,,,150,10% of 1500 = (10/100) × 1500 = 0.1 × 1500 = 150.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
3,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,"If 20% of a number is 80, what is the number?",,,,,,,400,"Let the number be \( x \). Then, 20% of \( x = 80 \). \( 0.2x = 80 \), so \( x = 80 / 0.2 = 400 \).",01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
4,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,What is 5% of 2000?,,,,,,,100,5% of 2000 = (5/100) × 2000 = 0.05 × 2000 = 100.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
5,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,"If 15% of a number is 45, find the number.",,,,,,,300,"Let the number be \( x \). Then, \( 0.15x = 45 \). \( x = 45 / 0.15 = 300 \).",01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
6,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,Calculate 40% of 250.,,,,,,,100,40% of 250 = (40/100) × 250 = 0.4 × 250 = 100.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
7,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,"If a number increased by 20% gives 240, what is the original number?",,,,,,,200,"Let the original number be \( x \). Then, \( x + 0.2x = 240 \). \( 1.2x = 240 \), so \( x = 240 / 1.2 = 200 \).",01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
8,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,What is 30% of 600?,,,,,,,180,30% of 600 = (30/100) × 600 = 0.3 × 600 = 180.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
9,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,"If 50% of a number is 75, what is the number?",,,,,,,150,"Let the number be \( x \). Then, \( 0.5x = 75 \). \( x = 75 / 0.5 = 150 \).",01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
10,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,Find 12.5% of 800.,,,,,,,100,12.5% of 800 = (12.5/100) × 800 = 0.125 × 800 = 100.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
11,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Profit and Loss,A book is bought for $100 and sold for $120. Find the profit percentage.,,,,,,,20%,Profit = Selling Price - Cost Price = 120 - 100 = 20. Profit % = (Profit / Cost Price) × 100 = (20 / 100) × 100 = 20%.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
12,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Profit and Loss,An item is sold for $150 at a loss of $30. What is the cost price?,,,,,,,$180,Cost Price = Selling Price + Loss = 150 + 30 = 180.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
